id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20210131_t1546200_x1366681E_y120977S_l0328_s1175_v23,2021-03-19 22:01:23,-12.097715,136.668106,6.07267,2021-01-31 15:46:20,2021-02-01 01:16:20,328,1175,0.41515,1,2529,0.320135,0.302446,0.631544,0.4,0.818656,0.75,0.0794478,0.0001,1.49139e-07,999999,-3.704328e-01,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1545441_e1547083_b48000_c20210131170311457254_nobc_ops.h5,GDNBO_npp_d20210131_t1545441_e1547083_b48000_c20210131170311413714_nobc_ops.h5,SVI04_npp_d20210131_t1545441_e1547083_b48000_c20210131170314584561_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1545441_e1547083_b48000_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-8.472685;-10.949587;-12.775376;-17.684593;-15.956461;-13.288801,129.161697;143.020477;156.990662;156.190155;141.862244;127.750359,npp_d20210131_t1542533_e1544175_b48000;npp_d20210131_t1544187_e1545429_b48000;npp_d20210131_t1545441_e1547083_b48000;npp_d20210131_t1547095_e1548337_b48000,149.125,161.372,42.5808,100.242,34.9049,52.7614
16,VBD_npp_d20210131_t1722230_x1087953E_y079284N_l0728_s0159_v23,2021-03-19 22:20:51,7.928410,108.795258,10.873,2021-01-31 17:22:23,2021-02-01 00:22:23,728,159,0.205954,11,18849,0.309781,0.186606,0.614406,0.4,0.715439,0.75,0.0813523,0.0001,3.16657e-16,999999,9.663118e-02,3,Vietnamese Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.404062,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,169.049,148.181,67.6991,97.2254,31.9149,85.9218
49,VBD_npp_d20210131_t1722212_x1138490E_y073764N_l0710_s0890_v23,2021-03-19 22:20:51,7.376442,113.849045,7.97709,2021-01-31 17:22:21,2021-02-01 01:22:21,710,890,0.292876,11,18593,0.274929,0.234617,0.562595,0.4,0.679262,0.75,0.0865403,0.0001,9.54238e-09,999999,-1.191471e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.717113,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,165.421,133.25,51.6784,97.9781,26.8982,84.8717
89,VBD_npp_d20210131_t1722159_x1158489E_y073807N_l0667_s1179_v23,2021-03-19 22:20:51,7.380713,115.848885,16.4172,2021-01-31 17:22:15,2021-02-01 01:22:15,667,1179,0.35917,1,2529,0.64899,0.231552,0.85484,0.4,0.925493,0.75,0.0883466,0.0001,1.72535e-06,999999,-9.842797e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,163.942,128.791,42.4135,97.8866,24.9131,84.7618
90,VBD_npp_d20210131_t1722159_x1158536E_y073663N_l0669_s1180_v23,2021-03-19 22:20:51,7.366266,115.853630,4.97061,2021-01-31 17:22:15,2021-02-01 01:22:15,669,1180,0.35668,1,2273,0.262772,0.253312,0.85484,0.4,0.760074,0.75,0.0883491,0.0001,1.74774e-06,999999,-2.455090e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,163.929,128.821,42.378,97.7527,24.9097,84.7299
91,VBD_npp_d20210131_t1722159_x1158651E_y073509N_l0671_s1182_v23,2021-03-19 22:20:51,7.350894,115.865059,15.9811,2021-01-31 17:22:15,2021-02-01 01:22:15,671,1182,0.312721,8,18913,0.583537,0.249218,0.833981,0.4,0.872996,0.75,0.0883577,0.0001,1.79968e-06,999999,-2.178347e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.20331,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,163.911,128.839,42.3064,97.619,24.8997,84.6955
92,VBD_npp_d20210131_t1722248_x1162292E_y067819N_l0748_s1253_v23,2021-03-19 22:20:51,6.781900,116.229179,64.3317,2021-01-31 17:22:24,2021-02-01 01:22:24,748,1253,0.300558,4,100837,0.909243,0.260045,0.801903,0.4,0.915323,0.75,0.0887731,0.0001,5.50344e-06,999999,2.258149e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,163.243,129.531,39.6654,97.9009,24.5585,83.4029
97,VBD_npp_d20210131_t1722177_x1169262E_y071659N_l0676_s1343_v23,2021-03-19 22:20:51,7.165945,116.926224,24.3314,2021-01-31 17:22:17,2021-02-01 01:22:17,676,1343,0.319265,1,2529,0.692039,0.280201,0.776008,0.4,0.902661,0.75,0.0892964,0.0001,2.22119e-05,999999,-8.934476e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1721027_e1722268_b48001_c20210131184509920321_nobc_ops.h5,GDNBO_npp_d20210131_t1721027_e1722268_b48001_c20210131184509905364_nobc_ops.h5,SVI04_npp_d20210131_t1721027_e1722268_b48001_c20210131184509945312_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1721027_e1722268_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.705640;10.872394;8.433943;3.578295;5.857655;7.806544,108.593788;122.566597;136.274231;135.026199;121.435013;107.655174,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,162.962,127.267,36.0892,98.5702,23.8462,84.1858
1,VBD_npp_d20210131_t1722284_x1088673E_y075777N_l0012_s0178_v23,2021-03-19 22:20:51,7.577724,108.867317,15.6915,2021-01-31 17:22:28,2021-02-01 00:22:28,12,178,0.135605,4,51621,0.349017,0.234279,0.512562,0.4,0.733845,0.75,0.0815406,0.0001,5.18203e-16,999999,-2.533815e-01,3,Vietnamese Exclusive Economic Zone,WPP711,,SVDNB_npp_d20210131_t1722281_e1723523_b48001_c20210131184517426892_nobc_ops.h5,GDNBO_npp_d20210131_t1722281_e1723523_b48001_c20210131184517418014_nobc_ops.h5,SVI04_npp_d20210131_t1722281_e1723523_b48001_c20210131184519848559_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1722281_e1723523_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.491953,VBD_bridges_c20160811.shp,7.809753;5.852593;3.580504;-1.281833;0.836906;2.919786,107.650818;121.427338;135.021347;133.832336;120.309189;106.625938,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,168.701,148.722,67.367,97.1913,31.8482,85.3499
2,VBD_npp_d20210131_t1723075_x1133727E_y046139N_l0365_s0906_v23,2021-03-19 22:20:51,4.613931,113.372749,10.8003,2021-01-31 17:23:07,2021-02-01 01:23:07,365,906,0.259017,2,2465,0.363857,0.248192,0.537043,0.4,0.732064,0.75,0.0858428,0.0001,1.01264e-08,999999,-2.109053e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1722281_e1723523_b48001_c20210131184517426892_nobc_ops.h5,GDNBO_npp_d20210131_t1722281_e1723523_b48001_c20210131184517418014_nobc_ops.h5,SVI04_npp_d20210131_t1722281_e1723523_b48001_c20210131184519848559_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1722281_e1723523_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,7.809753;5.852593;3.580504;-1.281833;0.836906;2.919786,107.650818;121.427338;135.021347;133.832336;120.309189;106.625938,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,163.588,140.766,51.2264,97.9591,27.5703,79.5019
3,VBD_npp_d20210131_t1723057_x1134245E_y047822N_l0339_s0909_v23,2021-03-19 22:20:51,4.782192,113.424454,12.3462,2021-01-31 17:23:05,2021-02-01 01:23:05,339,909,0.228929,2,2465,0.310393,0.273148,0.49172,0.4,0.671664,0.75,0.0859274,0.0001,1.11437e-08,999999,-3.795843e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210131_t1722281_e1723523_b48001_c20210131184517426892_nobc_ops.h5,GDNBO_npp_d20210131_t1722281_e1723523_b48001_c20210131184517418014_nobc_ops.h5,SVI04_npp_d20210131_t1722281_e1723523_b48001_c20210131184519848559_nobc_ops.dspace_rad,VNFF_npp_d20210131_t1722281_e1723523_b48001_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,7.809753;5.852593;3.580504;-1.281833;0.836906;2.919786,107.650818;121.427338;135.021347;133.832336;120.309189;106.625938,npp_d20210131_t1719373_e1721014_b48001;npp_d20210131_t1721027_e1722268_b48001;npp_d20210131_t1722281_e1723523_b48001;npp_d20210131_t1723535_e1725177_b48001,163.69,140.289,51.1422,98.4557,27.4953,79.8134
