id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20210427_t1528060_x1414983E_y063008N_l0474_s0779_v23,2021-06-10 04:27:58,6.300783,141.498276,9.30864,2021-04-27 15:28:06,2021-04-28 01:28:06,474,779,0.391037,1,2273,0.39854,0.354243,0.732523,0.4,0.802017,0.75,0.214816,0.0001,5.01335e-05,999999,-2.042507e-02,3,Micronesian Exclusive Economic Zone,,,SVDNB_npp_d20210427_t1527141_e1528383_b49220_c20210427165128606104_oebc_ops.h5,GDNBO_npp_d20210427_t1527141_e1528383_b49220_c20210427165128598518_oebc_ops.h5,SVI04_npp_d20210427_t1527141_e1528383_b49220_c20210427165135612749_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1527141_e1528383_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.041301;8.139659;5.795504;0.928783;3.123741;5.146190,136.737854;150.594147;164.207718;163.027710;149.470993;135.760712,npp_d20210427_t1522579_e1524221_b49220;npp_d20210427_t1524233_e1525475_b49220;npp_d20210427_t1525487_e1527129_b49220;npp_d20210427_t1527141_e1528383_b49220,155.298,34.5037,54.7348,97.8565,21.6829,-162.578
1,VBD_npp_d20210427_t1532009_x1338732E_y065596S_l0287_s0126_v23,2021-06-10 04:35:09,-6.559637,133.873184,47.835,2021-04-27 15:32:00,2021-04-28 00:32:00,287,126,0.364647,1,2529,0.887229,0.295547,0.893854,0.4,0.937647,0.75,0.233253,0.0001,7.7711e-07,999999,1.219665e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.512,43.9043,68.2866,100.368,7.6206,178.165
2,VBD_npp_d20210427_t1532026_x1338559E_y066192S_l0297_s0126_v23,2021-06-10 04:35:09,-6.619156,133.855896,141.748,2021-04-27 15:32:02,2021-04-28 00:32:02,297,126,0.368488,1,2529,1.33418,0.293869,0.899462,0.4,0.974741,0.75,0.233301,0.0001,7.74357e-07,999999,1.295975e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.561,44.091,68.2828,100.577,7.5605,178.074
3,VBD_npp_d20210427_t1532026_x1338694E_y065858S_l0292_s0127_v23,2021-06-10 04:35:09,-6.585791,133.869446,59.1664,2021-04-27 15:32:02,2021-04-28 00:32:02,292,127,0.363651,1,2529,0.982425,0.315237,0.901925,0.4,0.934794,0.75,0.233279,0.0001,7.72829e-07,999999,3.237620e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.528,44.0161,68.2662,100.727,7.59401,178.184
4,VBD_npp_d20210427_t1532097_x1339162E_y070555S_l0361_s0151_v23,2021-06-10 04:35:09,-7.055469,133.916214,74.5262,2021-04-27 15:32:09,2021-04-28 00:32:09,361,151,0.365714,1,2529,1.01729,0.343514,0.86548,0.4,0.87389,0.75,0.233631,0.0001,1.01174e-06,999999,-9.627864e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.806,46.1245,67.8823,100.661,7.11448,178.662
5,VBD_npp_d20210427_t1532151_x1339556E_y073471S_l0404_s0168_v23,2021-06-10 04:35:09,-7.347084,133.955612,171.635,2021-04-27 15:32:15,2021-04-28 00:32:15,404,168,0.371191,8,18913,1.41822,0.353739,0.881376,0.4,0.979245,0.75,0.23383,0.0001,1.20026e-06,999999,-1.428030e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.698698,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.961,47.5433,67.6066,100.874,6.81685,179.11
6,VBD_npp_d20210427_t1532186_x1340332E_y076242S_l0443_s0188_v23,2021-06-10 04:35:09,-7.624180,134.033157,77.0836,2021-04-27 15:32:18,2021-04-28 00:32:18,443,188,0.375459,1,2529,1.10655,0.294923,0.856135,0.4,0.955616,0.75,0.233989,0.0001,1.50018e-06,999999,1.248042e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,170.077,49.053,67.2612,100.694,6.5342,179.869
7,VBD_npp_d20210427_t1532133_x1344279E_y074154S_l0400_s0235_v23,2021-06-10 04:35:09,-7.415404,134.427917,23.4803,2021-04-27 15:32:13,2021-04-28 00:32:13,400,235,0.371191,7,2465,0.425264,0.346095,0.69629,0.4,0.714008,0.75,0.233877,0.0001,2.29675e-06,999999,-1.080250e-01,3,,,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.661,49.468,66.4575,100.413,6.75584,-176.991
8,VBD_npp_d20210427_t1532151_x1344284E_y074145S_l0401_s0236_v23,2021-06-10 04:35:09,-7.414459,134.428360,26.0028,2021-04-27 15:32:15,2021-04-28 00:32:15,401,236,0.360095,1,2529,0.572471,0.324227,0.69629,0.4,0.757935,0.75,0.233882,0.0001,2.26546e-06,999999,-8.526048e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.654,49.4906,66.438,100.918,6.75734,-176.928
9,VBD_npp_d20210427_t1532115_x1344816E_y072832S_l0379_s0238_v23,2021-06-10 04:35:09,-7.283195,134.481644,11.5735,2021-04-27 15:32:11,2021-04-28 00:32:11,379,238,0.365287,2,2209,0.392876,0.353649,0.695862,0.4,0.677206,0.75,0.2338,0.0001,2.31961e-06,999999,-1.423941e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,169.54,49.0795,66.4053,100.545,6.8927,-176.666
10,VBD_npp_d20210427_t1532222_x1394457E_y087860S_l0468_s0986_v23,2021-06-10 04:35:09,-8.785978,139.445663,30.9589,2021-04-27 15:32:22,2021-04-28 00:32:22,468,986,0.368417,1,2529,0.755529,0.367613,0.769087,0.4,0.912152,0.75,0.233183,0.0001,0.00108323,999999,-2.059288e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20210427_t1531303_e1532545_b49220_c20210427165126535010_oebc_ops.h5,GDNBO_npp_d20210427_t1531303_e1532545_b49220_c20210427165126528324_oebc_ops.h5,SVI04_npp_d20210427_t1531303_e1532545_b49220_c20210427165126588855_oebc_ops.dspace_rad,VNFF_npp_d20210427_t1531303_e1532545_b49220_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-4.584620;-6.921428;-8.842431;-13.747201;-11.932392;-9.421935,133.478104;147.211014;160.968704;160.090790;146.073807;132.169373,npp_d20210427_t1528395_e1530037_b49220;npp_d20210427_t1530049_e1531291_b49220;npp_d20210427_t1531303_e1532545_b49220;npp_d20210427_t1532557_e1534199_b49220,166.096,66.5882,48.9011,100.261,7.60212,-135.238
