id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20210919_t1516426_x1363930E_y138685S_l0334_s0141_v23,2021-10-19 23:27:00,-13.868465,136.392990,13.7573,2021-09-19 15:16:42,2021-09-20 00:46:42,334,141,0.338613,11,18913,0.363908,0.215224,0.62187,0.4,0.766601,0.75,0.155264,0.0001,0.00124164,999999,-4.405374e-02,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1516068_e1517292_b51277_c20210919163147204109_oebc_ops.h5,GDNBO_npp_d20210919_t1516068_e1517292_b51277_c20210919163024795569_oebc_ops.h5,SVI04_npp_d20210919_t1516068_e1517292_b51277_c20210919163150460348_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1516068_e1517292_b51277_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.889295,VBD_bridges_c20160811.shp,-11.561154;-14.172721;-15.935737;-20.744463;-19.070623;-16.257284,136.040649;150.062119;164.238754;163.507355;148.902710;134.568405,npp_d20210919_t1511506_e1513147_b51277;npp_d20210919_t1513160_e1514401_b51277;npp_d20210919_t1514414_e1516056_b51277;npp_d20210919_t1516068_e1517292_b51277,165.516,150.133,68.1053,102.384,20.2516,-87.7862
1,VBD_npp_d20210919_t1652012_x1158488E_y073822N_l0348_s0071_v23,2021-10-19 23:59:13,7.382240,115.848808,1314.99,2021-09-19 16:52:01,2021-09-20 00:52:01,348,71,0.300273,1,2529,0.918404,0.223374,0.470331,0.4,0.905464,0.75,0.142975,0.0001,6.85602e-05,999999,7.267715e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,166.497,50.9227,69.1475,97.1728,30.354,-130.085
2,VBD_npp_d20210919_t1652190_x1156561E_y063456N_l0510_s0074_v23,2021-10-19 23:59:13,6.345623,115.656075,2989.83,2021-09-19 16:52:19,2021-09-20 00:52:19,510,74,0.261436,4,100837,1.1647,0.191486,0.563592,0.4,0.949438,0.75,0.144372,0.0001,8.76966e-05,999999,2.716777e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,167.221,54.1258,69.1088,97.3454,29.5909,-128.818
3,VBD_npp_d20210919_t1652137_x1159460E_y066778N_l0454_s0105_v23,2021-10-19 23:59:13,6.677827,115.945969,37.2908,2021-09-19 16:52:13,2021-09-20 00:52:13,454,105,0.0921441,2,2465,0.407706,0.262527,0.468118,0.4,0.715309,0.75,0.143673,0.0001,9.29821e-05,999999,-1.716601e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,166.811,53.6717,68.6019,97.5362,30.0133,-128.951
4,VBD_npp_d20210919_t1652012_x1165214E_y073652N_l0338_s0167_v23,2021-10-19 23:59:13,7.365197,116.521378,94.6004,2021-09-19 16:52:01,2021-09-20 00:52:01,338,167,0.348785,1,2529,1.20278,0.24658,0.882763,0.4,0.973243,0.75,0.142025,0.0001,0.000110023,999999,-7.213818e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.983,52.7468,67.5909,97.5573,30.8639,-129.243
5,VBD_npp_d20210919_t1651594_x1165435E_y073700N_l0336_s0169_v23,2021-10-19 23:59:13,7.369959,116.543518,66.5,2021-09-19 16:51:59,2021-09-20 00:51:59,336,169,0.341174,1,2529,1.02866,0.232087,0.882763,0.4,0.956315,0.75,0.141988,0.0001,0.000121097,999999,1.830791e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.968,52.7689,67.5576,97.1093,30.8787,-129.231
6,VBD_npp_d20210919_t1652012_x1165436E_y073692N_l0337_s0170_v23,2021-10-19 23:59:13,7.369236,116.543571,84.888,2021-09-19 16:52:01,2021-09-20 00:52:01,337,170,0.341174,1,2529,1.07603,0.22693,0.882763,0.4,0.945636,0.75,0.141989,0.0001,0.000111108,999999,5.048750e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.963,52.7901,67.5394,97.5907,30.8838,-129.222
7,VBD_npp_d20210919_t1651594_x1166627E_y074034N_l0329_s0185_v23,2021-10-19 23:59:13,7.403412,116.662666,181.904,2021-09-19 16:51:59,2021-09-20 00:51:59,329,185,0.348785,1,2529,1.46056,0.236594,0.895236,0.4,0.98508,0.75,0.141778,0.0001,0.000125905,999999,-9.819790e-03,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.854,52.9621,67.2823,97.3384,30.993,-129.133
14,VBD_npp_d20210919_t1651523_x1168314E_y077675N_l0270_s0198_v23,2021-10-19 23:59:13,7.767472,116.831398,180.271,2021-09-19 16:51:52,2021-09-20 00:51:52,270,198,0.358032,7,2465,1.1709,0.206903,0.81175,0.4,0.630377,0.75,0.141091,0.0001,0.000129222,999999,1.754705e-01,3,,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.523,52.1757,67.0606,97.1104,31.3361,-129.442
15,VBD_npp_d20210919_t1651523_x1168392E_y077734N_l0269_s0199_v23,2021-10-19 23:59:13,7.773377,116.839195,180.861,2021-09-19 16:51:52,2021-09-20 00:51:52,269,199,0.361731,2,2465,1.21336,0.213364,0.814303,0.4,0.643504,0.75,0.141072,0.0001,0.000128967,999999,1.351510e-01,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.513,52.177,67.0435,97.1421,31.3459,-129.44
16,VBD_npp_d20210919_t1651559_x1170255E_y075594N_l0298_s0232_v23,2021-10-19 23:59:13,7.559417,117.025536,136.514,2021-09-19 16:51:55,2021-09-20 00:51:55,298,232,0.35099,1,2529,1.27505,0.227198,0.855734,0.4,0.972856,0.75,0.141051,0.0001,0.000157893,999999,4.881738e-02,3,Philippines Exclusive Economic Zone,,,SVDNB_npp_d20210919_t1651236_e1652478_b51278_c20210919181536905815_oebc_ops.h5,GDNBO_npp_d20210919_t1651236_e1652478_b51278_c20210919181413576341_oebc_ops.h5,SVI04_npp_d20210919_t1651236_e1652478_b51278_c20210919181540117344_oebc_ops.dspace_rad,VNFF_npp_d20210919_t1651236_e1652478_b51278_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.661657;7.747897;5.415445;0.547130;2.732386;4.768616,115.791679;129.647964;143.254105;142.083481;128.525589;114.807800,npp_d20210919_t1648345_e1649569_b51278;npp_d20210919_t1649582_e1651223_b51278;npp_d20210919_t1651236_e1652478_b51278;npp_d20210919_t1652490_e1654132_b51278,165.484,53.3289,66.4809,97.304,31.3651,-128.926
