id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20220616_t1548368_x1372527E_y030355N_l0376_s0953_v23,2022-09-24 00:59:47,3.035546,137.252731,10.0937,2022-06-16 15:48:36,2022-06-17 01:48:36,376,953,0.333847,1,2529,0.408917,0.319821,0.61914,0.4,0.810371,0.75,0.0907376,0.0001,3.71073e-09,999999,-1.676254e-01,3,,,,SVDNB_npp_d20220616_t1547556_e1549198_b55108_c20220616171158706413_oebc_ops.h5,GDNBO_npp_d20220616_t1547556_e1549198_b55108_c20220616171017502726_oebc_ops.h5,SVI04_npp_d20220616_t1547556_e1549198_b55108_c20220616171202455684_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1547556_e1549198_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,6.373571;4.378107;2.153954;-2.725521;-0.637552;1.491426,131.261963;144.999252;158.565079;157.466125;143.882629;130.209717,npp_d20220616_t1543411_e1545035_b55108;npp_d20220616_t1545048_e1546289_b55108;npp_d20220616_t1546302_e1547544_b55108;npp_d20220616_t1547556_e1549198_b55108,150.192,26.961,49.8686,98.44,35.0579,146.973
1,VBD_npp_d20220616_t1550289_x1321806E_y029558S_l0624_s0426_v23,2022-09-24 01:02:02,-2.955788,132.180573,9.17021,2022-06-16 15:50:28,2022-06-17 00:50:28,624,426,0.379798,1,2273,0.320173,0.245188,0.673043,0.4,0.794056,0.75,0.093213,0.0001,1.80339e-13,999999,2.111585e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,157.578,23.6803,62.8615,99.2001,33.224,135.855
2,VBD_npp_d20220616_t1550307_x1321816E_y029543S_l0625_s0427_v23,2022-09-24 01:02:02,-2.954284,132.181625,10.3546,2022-06-16 15:50:30,2022-06-17 00:50:30,625,427,0.371973,1,2273,0.358896,0.268276,0.745267,0.4,0.777062,0.75,0.0932252,0.0001,1.70542e-13,999999,9.293305e-02,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,157.573,23.6972,62.8374,99.77,33.2193,135.865
3,VBD_npp_d20220616_t1550289_x1321955E_y029511S_l0623_s0428_v23,2022-09-24 01:02:02,-2.951080,132.195541,7.69705,2022-06-16 15:50:28,2022-06-17 00:50:28,623,428,0.380225,2,2209,0.272023,0.271162,0.745267,0.4,0.749929,0.75,0.0932232,0.0001,1.88148e-13,999999,7.815816e-02,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,157.568,23.7081,62.8209,99.2357,33.2169,135.876
4,VBD_npp_d20220616_t1550289_x1322093E_y029534S_l0623_s0430_v23,2022-09-24 01:02:02,-2.953354,132.209274,16.1752,2022-06-16 15:50:28,2022-06-17 00:50:28,623,430,0.363082,1,2529,0.516697,0.293462,0.745267,0.4,0.846372,0.75,0.0932381,0.0001,1.97814e-13,999999,-3.603472e-02,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,157.565,23.74,62.7806,99.2349,33.2055,135.888
5,VBD_npp_d20220616_t1550289_x1322310E_y029498S_l0622_s0433_v23,2022-09-24 01:02:02,-2.949788,132.231003,11.8884,2022-06-16 15:50:28,2022-06-17 00:50:28,622,433,0.28434,2,2209,0.352922,0.309415,0.720203,0.4,0.728846,0.75,0.0932558,0.0001,2.11525e-13,999999,-1.177234e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,157.553,23.7835,62.72,99.2702,33.1928,135.915
6,VBD_npp_d20220616_t1550182_x1344031E_y026564S_l0524_s0729_v23,2022-09-24 01:02:02,-2.656418,134.403122,13.1713,2022-06-16 15:50:18,2022-06-17 00:50:18,524,729,0.363509,1,2529,0.486539,0.285382,0.625026,0.4,0.8399,0.75,0.0948168,0.0001,1.78099e-10,999999,5.342157e-03,3,Indonesian Exclusive Economic Zone,WPP717,Teluk Cenderawasih Marine National Park,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,156.362,27.8777,56.0203,99.0958,31.9459,138.629
7,VBD_npp_d20220616_t1550146_x1344867E_y024483S_l0491_s0734_v23,2022-09-24 01:02:02,-2.448342,134.486725,11.5298,2022-06-16 15:50:14,2022-06-17 00:50:14,491,734,0.387764,1,2529,0.461356,0.300648,0.613103,0.4,0.840169,0.75,0.0946218,0.0001,1.86133e-10,999999,-7.282973e-02,3,Indonesian Exclusive Economic Zone,WPP717,Teluk Cenderawasih Marine National Park,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,156.146,27.7919,55.8942,99.1073,32.0585,138.935
8,VBD_npp_d20220616_t1550218_x1348053E_y028879S_l0549_s0795_v23,2022-09-24 01:02:02,-2.887923,134.805252,10.817,2022-06-16 15:50:21,2022-06-17 00:50:21,549,795,0.385062,1,2529,0.435848,0.305497,0.596778,0.4,0.833296,0.75,0.0954489,0.0001,7.27959e-10,999999,-9.766002e-02,3,Indonesian Exclusive Economic Zone,WPP717,Teluk Cenderawasih Marine National Park,SVDNB_npp_d20220616_t1549210_e1550452_b55108_c20220616171209886681_oebc_ops.h5,GDNBO_npp_d20220616_t1549210_e1550452_b55108_c20220616171025543141_oebc_ops.h5,SVI04_npp_d20220616_t1549210_e1550452_b55108_c20220616171213536513_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1549210_e1550452_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.494162;-0.642932;-2.723887;-7.616977;-5.657356;-3.370204,130.203354;143.874695;157.460434;156.464218;142.756744;129.045990,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,156.367,28.9464,54.327,99.4265,31.4907,138.873
1,VBD_npp_d20220616_t1551383_x1319469E_y070171S_l0471_s0536_v23,2022-09-24 01:02:02,-7.017095,131.946899,12.6732,2022-06-16 15:51:38,2022-06-17 00:51:38,471,536,0.360664,1,2529,0.466515,0.338719,0.589962,0.4,0.856809,0.75,0.09685,0.0001,7.5193e-12,999999,-2.677783e-01,3,Indonesian Exclusive Economic Zone,WPP714,Kabupaten Maluku Tenggara Barat Regional Water Conservation Area,SVDNB_npp_d20220616_t1550464_e1552106_b55108_c20220616171206538052_oebc_ops.h5,GDNBO_npp_d20220616_t1550464_e1552106_b55108_c20220616171027955311_oebc_ops.h5,SVI04_npp_d20220616_t1550464_e1552106_b55108_c20220616171209919657_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1550464_e1552106_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.367579;-5.662895;-7.614863;-12.515730;-10.674440;-8.212212,129.039688;142.748734;156.458313;155.557755;141.617340;127.765015,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,161.204,28.5668,60.5818,100.286,30.3525,131.036
2,VBD_npp_d20220616_t1551312_x1336588E_y069560S_l0416_s0772_v23,2022-09-24 01:02:02,-6.955984,133.658813,25.7172,2022-06-16 15:51:31,2022-06-17 00:51:31,416,772,0.355756,1,2529,0.523524,0.276661,0.567134,0.4,0.800012,0.75,0.0983544,0.0001,1.19744e-09,999999,1.561052e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220616_t1550464_e1552106_b55108_c20220616171206538052_oebc_ops.h5,GDNBO_npp_d20220616_t1550464_e1552106_b55108_c20220616171027955311_oebc_ops.h5,SVI04_npp_d20220616_t1550464_e1552106_b55108_c20220616171209919657_oebc_ops.dspace_rad,VNFF_npp_d20220616_t1550464_e1552106_b55108_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.367579;-5.662895;-7.614863;-12.515730;-10.674440;-8.212212,129.039688;142.748734;156.458313;155.557755;141.617340;127.765015,npp_d20220616_t1549210_e1550452_b55108;npp_d20220616_t1550464_e1552106_b55108;npp_d20220616_t1552118_e1553360_b55108;npp_d20220616_t1553372_e1555014_b55108,160.303,32.3959,54.9384,99.6161,29.1321,132.91
