id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20231127_t1533344_x1335749E_y069846S_l0629_s0118_v23,2024-02-13 15:12:48,-6.984635,133.574905,83.4884,2023-11-27 15:33:34,2023-11-28 00:33:34,629,118,0.349852,1,2529,0.931452,0.29011,0.802115,0.4,0.922791,0.75,0.211012,0.0001,4.42358e-07,999999,6.096646e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.177,160.849,68.404,100.791,33.5195,-12.0985
2,VBD_npp_d20231127_t1533362_x1335569E_y070949S_l0646_s0120_v23,2024-02-13 15:12:48,-7.094853,133.556870,38.3082,2023-11-27 15:33:36,2023-11-28 00:33:36,646,120,0.353053,1,2529,0.65396,0.290863,0.768008,0.4,0.805911,0.75,0.210685,0.0001,4.262e-07,999999,5.731645e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.076,160.931,68.3799,100.785,33.6266,-12.0455
3,VBD_npp_d20231127_t1533308_x1336604E_y068673S_l0608_s0125_v23,2024-02-13 15:12:48,-6.867259,133.660431,23.5157,2023-11-27 15:33:30,2023-11-28 00:33:30,608,125,0.350847,1,2529,0.420809,0.301494,0.644177,0.4,0.76692,0.75,0.211333,0.0001,4.47747e-07,999999,5.804497e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.265,160.657,68.2944,100.401,33.4182,-12.2521
4,VBD_npp_d20231127_t1533326_x1336606E_y068662S_l0609_s0126_v23,2024-02-13 15:12:48,-6.866179,133.660568,44.941,2023-11-27 15:33:32,2023-11-28 00:33:32,609,126,0.350847,1,2529,0.633107,0.317344,0.644177,0.4,0.807461,0.75,0.211306,0.0001,5.16985e-07,999999,-7.099098e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.263,160.643,68.2769,100.878,33.4187,-12.2642
5,VBD_npp_d20231127_t1533326_x1336402E_y069701S_l0624_s0126_v23,2024-02-13 15:12:48,-6.970088,133.640198,64.7468,2023-11-27 15:33:32,2023-11-28 00:33:32,624,126,0.353479,1,2529,0.720954,0.277749,0.731349,0.4,0.83021,0.75,0.211033,0.0001,4.34181e-07,999999,1.208587e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.172,160.739,68.2787,100.425,33.5174,-12.1973
6,VBD_npp_d20231127_t1533344_x1336420E_y069687S_l0625_s0127_v23,2024-02-13 15:12:48,-6.968684,133.641968,62.2511,2023-11-27 15:33:34,2023-11-28 00:33:34,625,127,0.353479,1,2529,0.769919,0.278791,0.738822,0.4,0.891486,0.75,0.211006,0.0001,5.03155e-07,999999,1.158103e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.17,160.722,68.2576,100.904,33.5179,-12.2121
7,VBD_npp_d20231127_t1533326_x1336729E_y069475S_l0620_s0130_v23,2024-02-13 15:12:48,-6.947485,133.672943,78.9366,2023-11-27 15:33:32,2023-11-28 00:33:32,620,130,0.348429,1,2529,0.458193,0.283246,0.710648,0.4,0.776111,0.75,0.211071,0.0001,4.71913e-07,999999,9.422564e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.182,160.669,68.2131,100.542,33.5019,-12.2576
8,VBD_npp_d20231127_t1533326_x1337014E_y069098S_l0614_s0133_v23,2024-02-13 15:12:48,-6.909848,133.701431,44.805,2023-11-27 15:33:32,2023-11-28 00:33:32,614,133,0.356822,2,2465,0.638234,0.280756,0.690299,0.4,0.741048,0.75,0.211155,0.0001,5.19875e-07,999999,1.062923e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.208,160.597,68.1638,100.721,33.4708,-12.316
9,VBD_npp_d20231127_t1533344_x1336921E_y069998S_l0628_s0135_v23,2024-02-13 15:12:48,-6.999805,133.692108,88.346,2023-11-27 15:33:34,2023-11-28 00:33:34,628,135,0.323889,2,2465,0.485696,0.311267,0.811479,0.4,0.572919,0.75,0.210883,0.0001,5.22368e-07,999999,-4.154599e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.124,160.652,68.1285,100.807,33.5595,-12.2829
10,VBD_npp_d20231127_t1533344_x1336867E_y070274S_l0632_s0135_v23,2024-02-13 15:12:48,-7.027411,133.686722,42.4476,2023-11-27 15:33:34,2023-11-28 00:33:34,632,135,0.345157,1,2529,0.6443,0.330815,0.812135,0.4,0.860591,0.75,0.21081,0.0001,4.98701e-07,999999,-1.362648e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231127_t1532247_e1533489_b62613_c20231127165523206000_oebc_ops.h5,GDNBO_npp_d20231127_t1532247_e1533489_b62613_c20231127165327194000_oebc_ops.h5,SVI04_npp_d20231127_t1532247_e1533489_b62613_c20231127165529891000_oebc_ops.dspace_rad,VNFF_npp_d20231127_t1532247_e1533489_b62613_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-2.864853;-5.137616;-7.098029;-11.999789;-10.150222;-7.712083,133.786453;147.479965;161.165359;160.259476;146.352051;132.527939,npp_d20231127_t1532247_e1533489_b62613;npp_d20231127_t1533501_e1535143_b62613;npp_d20231127_t1535155_e1536397_b62613;npp_d20231127_t1536409_e1538051_b62613,150.1,160.678,68.1288,100.686,33.5857,-12.2652
