id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20231231_t1456326_x1413088E_y109355S_l0060_s0025_v23,2024-02-16 07:17:07,-10.935497,141.308807,23.4771,2023-12-31 14:56:32,2023-12-31 23:56:32,60,25,0.363011,1,2529,0.68385,0.182613,0.772564,0.4,0.938669,0.75,0.0339702,0.0001,1.75478e-38,999999,-6.169053e-02,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20231231_t1456270_e1457512_b63095_c20231231161803488000_oeac_ops.h5,GDNBO_npp_d20231231_t1456270_e1457512_b63095_c20231231161605356000_oeac_ops.h5,SVI04_npp_d20231231_t1456270_e1457512_b63095_c20231231161814933000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1456270_e1457512_b63095_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-10.522849;-13.084236;-14.865150;-19.775915;-18.088020;-15.323756,141.243774;155.201630;169.306793;168.542130;154.027176;139.764465,npp_d20231231_t1455016_e1456258_b63095;npp_d20231231_t1456270_e1457512_b63095;npp_d20231231_t1457524_e1459166_b63095;npp_d20231231_t1459178_e1500420_b63095,145.667,172.291,69.9156,101.806,56.2112,63.7142
1,VBD_npp_d20231231_t1632446_x1219710E_y069547N_l0539_s0257_v23,2024-02-16 07:35:44,6.954688,121.970993,35.9435,2023-12-31 16:32:44,2024-01-01 00:32:44,539,257,0.322039,1,2529,0.65166,0.26053,0.790423,0.4,0.873529,0.75,0.0443469,0.0001,2.95464e-24,999999,-2.956524e-01,1,,,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.502,151.665,66.0146,97.3966,46.0662,76.9135
2,VBD_npp_d20231231_t1632428_x1222149E_y070702N_l0517_s0289_v23,2024-02-16 07:35:44,7.070160,122.214882,25.0845,2023-12-31 16:32:42,2024-01-01 00:32:42,517,289,0.375459,2,2465,0.484734,0.213657,0.745887,0.4,0.71923,0.75,0.0446228,0.0001,1.47263e-23,999999,2.140921e-02,1,,,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.49,150.912,65.4482,97.6002,45.8084,77.0011
3,VBD_npp_d20231231_t1632446_x1224884E_y069430N_l0531_s0331_v23,2024-02-16 07:35:44,6.942982,122.488434,55.2822,2023-12-31 16:32:44,2024-01-01 00:32:44,531,331,0.358316,1,2529,1.09039,0.212901,0.928289,0.4,0.970906,0.75,0.0448626,0.0001,1.02413e-22,999999,2.652608e-02,3,Philippines Exclusive Economic Zone,Region IX,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.243,150.41,64.6658,97.7286,45.5629,76.8489
4,VBD_npp_d20231231_t1632446_x1225020E_y068913N_l0538_s0334_v23,2024-02-16 07:35:44,6.891264,122.501999,31.4397,2023-12-31 16:32:44,2024-01-01 00:32:44,538,334,0.361873,1,2529,0.873208,0.19966,0.930588,0.4,0.95272,0.75,0.0448628,0.0001,1.09995e-22,999999,1.160900e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.191,150.453,64.6111,97.4895,45.5616,76.7969
5,VBD_npp_d20231231_t1632428_x1225396E_y069637N_l0526_s0337_v23,2024-02-16 07:35:44,6.963735,122.539574,14.7176,2023-12-31 16:32:42,2024-01-01 00:32:42,526,337,0.373609,1,2529,0.600218,0.20259,0.884296,0.4,0.909785,0.75,0.0449166,0.0001,1.27532e-22,999999,9.627023e-02,3,Philippines Exclusive Economic Zone,Region IX,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.239,150.274,64.5565,97.3358,45.5152,76.8644
6,VBD_npp_d20231231_t1632446_x1225358E_y069366N_l0531_s0338_v23,2024-02-16 07:35:44,6.936556,122.535835,18.3083,2023-12-31 16:32:44,2024-01-01 00:32:44,531,338,0.380936,1,2529,0.565622,0.217462,0.931774,0.4,0.90395,0.75,0.0449091,0.0001,1.40279e-22,999999,-4.330242e-03,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.214,150.305,64.5368,97.7345,45.5181,76.8376
7,VBD_npp_d20231231_t1632446_x1225377E_y069007N_l0536_s0339_v23,2024-02-16 07:35:44,6.900747,122.537735,107.66,2023-12-31 16:32:44,2024-01-01 00:32:44,536,339,0.381292,1,2529,1.31368,0.204985,0.932524,0.4,0.974681,0.75,0.0449016,0.0001,1.40185e-22,999999,8.007478e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.182,150.353,64.5188,97.5626,45.5245,76.8023
8,VBD_npp_d20231231_t1632446_x1225386E_y068580N_l0542_s0340_v23,2024-02-16 07:35:44,6.858001,122.538582,38.3302,2023-12-31 16:32:44,2024-01-01 00:32:44,542,340,0.384706,1,2529,0.987319,0.191188,0.929264,0.4,0.96741,0.75,0.0448913,0.0001,1.38697e-22,999999,1.733975e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.144,150.412,64.5014,97.356,45.5335,76.7605
13,VBD_npp_d20231231_t1632321_x1231705E_y075776N_l0421_s0409_v23,2024-02-16 07:35:44,7.577645,123.170547,12.5163,2023-12-31 16:32:32,2024-01-01 00:32:32,421,409,0.393597,1,2529,0.439234,0.235483,0.667493,0.4,0.842547,0.75,0.0456835,0.0001,4.45981e-21,999999,-1.262266e-01,1,Philippines Exclusive Economic Zone,Region IX,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,161.468,147.936,63.1713,97.5971,44.8026,77.4146
25,VBD_npp_d20231231_t1632553_x1250825E_y058661N_l0639_s0729_v23,2024-02-16 07:35:44,5.866087,125.082535,31.0418,2023-12-31 16:32:55,2024-01-01 00:32:55,639,729,0.396016,2,2465,0.509754,0.225171,0.715952,0.4,0.683375,0.75,0.0471286,0.0001,8.4762e-16,999999,-5.647615e-02,1,Philippines Exclusive Economic Zone,Region XII,,SVDNB_npp_d20231231_t1631456_e1633098_b63096_c20231231175706334000_oeac_ops.h5,GDNBO_npp_d20231231_t1631456_e1633098_b63096_c20231231175444852000_oeac_ops.h5,SVI04_npp_d20231231_t1631456_e1633098_b63096_c20231231175713584000_oeac_ops.dspace_rad,VNFF_npp_d20231231_t1631456_e1633098_b63096_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.620206;8.734711;6.371563;1.507063;3.719116;5.724093,120.865921;134.751831;148.387360;147.194290;133.627869;119.900391,npp_d20231231_t1631456_e1633098_b63096;npp_d20231231_t1633110_e1634352_b63096;npp_d20231231_t1634364_e1636006_b63096;npp_d20231231_t1636018_e1637260_b63096,158.945,146.108,56.0047,97.6524,43.2498,75.3966
